Distributor,Order Number,Date,Distributor Part Number,Manufacturer Part Number,Manufacturer,Description,Category/Package,Quantity,Unit Price($),Total Price($),Keywords (Search Tags)
DigiKey,93832327,,AP2112K-3.3TRG1DICT-ND,AP2112K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT-25,Integrated Circuits (ICs),25,,,"3.3V, 600MA, LDO, Power, Power Supply, Voltage Regulator"
DigiKey,93832327,,BSS316NH6327XTSA1CT-ND,BSS316NH6327XTSA1,Infineon Technologies,MOSFET N-CH 30V 1.4A SOT23-3,Discrete Semiconductor Products,10,,,"1.4A, 30V, 316NH, FET, Switch, Transistor"
DigiKey,93832327,,MMSZ5231B-FDICT-ND,MMSZ5231B-7-F,Diodes Incorporated,DIODE ZENER 5.1V 500MW SOD123,Discrete Semiconductor Products,10,,,"5.1V, Diode, Rectifier, Semiconductor"
DigiKey,93761475,,P1.5KDBCT-ND,ERA-3AEB152V,Panasonic Electronic Components,RES SMD 1.5K OHM 0.1% 1/10W 0603,Resistors,10,,,"1/10W, 152V, 3A, Impedance, Passive, Resistor, SMD"
DigiKey,93761475,,535-14095-1-ND,AMCA31-2R450G-S1F-T3,Abracon LLC,RF ANT 2.4GHZ CHIP SOLDER SMD,RF and Wireless,10,,,"1F, Antenna, RF, Radio, SMD, Wireless"
DigiKey,93761475,,712-LRC0603CS3N9GV001TCT-ND,LRC0603CS3N9GV001T,Johanson Technology Inc.,FIXED IND 3.9NH 300MA 250MOHM SM,"Inductors, Coils, Chokes",10,,,"250MOHM, 3.9NH, 300MA, Choke, Coil, Inductor, Magnetic, Passive"
DigiKey,93761475,,EG5384CT-ND,TL3365AF180QG,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,Switches,10,,,"0.05A, 12V, 3365A, Button, Input, Switch, Tactile"
DigiKey,93761475,,490-18340-1-ND,XRCGB32M000F2P01R0,Murata Electronics,CRYSTAL 32.0000MHZ 8PF SMD,"Crystals, Oscillators, Resonators",10,,,"000F, 32.0000MH, 32.0000MHZ, 8PF, Clock, Oscillator, Resonator, SMD, Timing"
DigiKey,93761475,,587-2909-1-ND,TMK107ABJ225KA-T,Taiyo Yuden,CAP CER 2.2UF 25V X5R 0603,Capacitors,20,,,"107A, 2.2UF, 25V, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,93761475,,1276-1946-1-ND,CL10B105KP8NNNC,Samsung Electro-Mechanics,CAP CER 1UF 10V X7R 0603,Capacitors,10,,,"10V, 1UF, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,93761475,,TCR2EF33LM(CTCT-ND,"TCR2EF33,LM(CT",Toshiba Semiconductor and Storage,IC REG LINEAR 3.3V 200MA SMV,Integrated Circuits (ICs),25,,,"200MA, 3.3V, LDO, Power, Power Supply, Voltage Regulator"
DigiKey,93761475,,399-C0603C104K5RACTUCT-ND,C0603C104K5RACTU,KEMET,CAP CER 0.1UF 50V X7R 0603,Capacitors,20,,,"0.1UF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,93761475,,311-5.10KHRCT-ND,RC0603FR-075K1L,YAGEO,RES 5.1K OHM 1% 1/10W 0603,Resistors,20,,,"0603F, 1/10W, Impedance, Passive, Resistor"
DigiKey,93761475,,490-11175-1-ND,GJM0335C1E1R5BB01D,Murata Electronics,CAP CER 1.5PF 25V C0G/NP0 0201,Capacitors,10,,,"1.5PF, 25V, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,93761475,,2073-USB4105-GF-ACT-ND,USB4105-GF-A,GCT,CONN RCP USB2.0 TYP C 24P SMD RA,"Connectors, Interconnects",10,,,"Connector, Interconnect, Plug, Receptacle, SMD"
DigiKey,93761475,,311-3851-1-ND,CC0603CRNPO9BN1R2,YAGEO,CAP CER 1.2PF 50V C0G/NPO 0603,Capacitors,10,,,"1.2PF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,93761475,,1276-1127-1-ND,CL10C1R8BB8NNNC,Samsung Electro-Mechanics,CAP CER 1.8PF 50V C0G/NP0 0603,Capacitors,10,,,"1.8PF, 50V, Capacitor, Decoupling, Energy Storage, Passive"
DigiKey,93761475,,712-LRC0603CS4N7GV001TCT-ND,LRC0603CS4N7GV001T,Johanson Technology Inc.,FIXED IND 4.7NH 300MA 300MOHM SM,"Inductors, Coils, Chokes",10,,,"300MA, 300MOHM, 4.7NH, Choke, Coil, Inductor, Magnetic, Passive"
DigiKey,93761475,,553-BSCH001608083N3S00CT-ND,BSCH001608083N3S00,Pulse Electronics,FIXED IND 3.3NH 600MA 120MOHM SM,"Inductors, Coils, Chokes",10,,,"120MOHM, 3.3NH, 600MA, Choke, Coil, Inductor, Magnetic, Passive"
